Voltage,Current,Power,Status,Alert,Prediction,Anomaly
231.9,4.97,1153.0,NORMAL,System Normal ✅,Stable,Normal
226.9,5.62,1275.0,NORMAL,System Normal ✅,Stable,Normal
217.5,5.99,1303.0,NORMAL,System Normal ✅,Stable,Normal
223.4,4.14,925.0,NORMAL,System Normal ✅,Stable,Normal
213.5,5.13,1095.0,NORMAL,System Normal ✅,Stable,Normal
232.9,5.68,1323.0,NORMAL,System Normal ✅,Stable,Normal
229.1,5.34,1223.0,NORMAL,System Normal ✅,Stable,Normal
218.1,5.44,1186.0,NORMAL,System Normal ✅,Stable,Normal
216.5,5.1,1104.0,NORMAL,System Normal ✅,Stable,Normal
225.5,5.52,1245.0,NORMAL,System Normal ✅,Stable,Normal
211.7,4.76,1008.0,NORMAL,System Normal ✅,Stable,Normal
210.9,5.34,1126.0,NORMAL,System Normal ✅,Stable,Normal
220.4,5.8,1278.0,NORMAL,System Normal ✅,Stable,Normal
213.3,5.64,1203.0,NORMAL,System Normal ✅,Stable,Normal
211.1,5.73,1210.0,NORMAL,System Normal ✅,Stable,Normal
217.0,4.29,931.0,NORMAL,System Normal ✅,Stable,Normal
229.2,5.1,1169.0,NORMAL,System Normal ✅,Stable,Normal
235.3,5.73,1348.0,WARNING,High Voltage ⚠️,Stable,Normal
223.5,4.51,1008.0,NORMAL,System Normal ✅,Stable,Normal
239.9,5.81,1394.0,CRITICAL,High Voltage ⚠️,Stable,Normal
214.6,4.58,983.0,NORMAL,System Normal ✅,Stable,Normal
214.7,4.78,1026.0,NORMAL,System Normal ✅,Stable,Normal
229.0,5.2,1191.0,NORMAL,System Normal ✅,Stable,Normal
238.7,4.7,1122.0,CRITICAL,High Voltage ⚠️,Stable,Normal
218.3,5.73,1251.0,NORMAL,System Normal ✅,Stable,Normal
232.5,4.65,1081.0,NORMAL,System Normal ✅,Stable,Normal
238.7,4.65,1110.0,CRITICAL,High Voltage ⚠️,Stable,Normal
221.9,5.19,1152.0,NORMAL,System Normal ✅,Stable,Normal
219.9,4.51,992.0,NORMAL,System Normal ✅,Stable,Normal
213.9,5.59,1196.0,NORMAL,System Normal ✅,Stable,Normal
213.5,4.05,865.0,NORMAL,System Normal ✅,Stable,Normal
233.3,4.31,1006.0,NORMAL,System Normal ✅,Stable,Normal
231.0,5.59,1291.0,NORMAL,System Normal ✅,Stable,Normal
229.4,5.04,1156.0,NORMAL,System Normal ✅,Stable,Normal
219.8,4.24,932.0,NORMAL,System Normal ✅,Stable,Normal
230.2,5.51,1268.0,NORMAL,System Normal ✅,Stable,Normal
232.9,4.81,1120.0,NORMAL,System Normal ✅,Stable,Normal
214.6,5.21,1118.0,NORMAL,System Normal ✅,Stable,Normal
222.6,4.02,895.0,NORMAL,System Normal ✅,Stable,Normal
210.5,5.79,1219.0,NORMAL,System Normal ✅,Stable,Normal
220.6,4.79,1057.0,NORMAL,System Normal ✅,Stable,Normal
230.7,4.14,955.0,NORMAL,System Normal ✅,Stable,Normal
237.2,5.74,1362.0,WARNING,High Voltage ⚠️,Stable,Normal
239.8,4.45,1067.0,CRITICAL,High Voltage ⚠️,Stable,Normal
236.4,4.89,1156.0,WARNING,High Voltage ⚠️,Stable,Normal
222.9,4.63,1032.0,NORMAL,System Normal ✅,Stable,Normal
212.1,5.12,1086.0,NORMAL,System Normal ✅,Stable,Normal
233.4,4.12,962.0,NORMAL,System Normal ✅,Stable,Normal
223.0,4.67,1041.0,NORMAL,System Normal ✅,Stable,Normal
224.1,4.98,1116.0,NORMAL,System Normal ✅,Stable,Normal
213.7,5.9,1261.0,NORMAL,System Normal ✅,Stable,Normal
239.4,4.6,1101.0,CRITICAL,High Voltage ⚠️,Stable,Normal
214.7,4.99,1071.0,NORMAL,System Normal ✅,Stable,Normal
230.4,4.49,1034.0,NORMAL,System Normal ✅,Stable,Normal
219.5,5.16,1133.0,NORMAL,System Normal ✅,Stable,Normal
225.5,5.09,1148.0,NORMAL,System Normal ✅,Stable,Normal
214.7,4.33,930.0,NORMAL,System Normal ✅,Stable,Normal
212.9,5.33,1135.0,NORMAL,System Normal ✅,Stable,Normal
233.5,4.04,943.0,NORMAL,System Normal ✅,Stable,Normal
219.1,5.34,1170.0,NORMAL,System Normal ✅,Stable,Normal
217.6,5.65,1229.0,NORMAL,System Normal ✅,Stable,Normal
239.8,4.29,1029.0,CRITICAL,High Voltage ⚠️,Stable,Normal
220.4,4.53,998.0,NORMAL,System Normal ✅,Stable,Normal
221.8,4.64,1029.0,NORMAL,System Normal ✅,Stable,Normal
220.4,4.01,884.0,NORMAL,System Normal ✅,Stable,Normal
228.3,5.3,1210.0,NORMAL,System Normal ✅,Stable,Normal
224.9,4.53,1019.0,NORMAL,System Normal ✅,Stable,Normal
238.4,4.22,1006.0,CRITICAL,High Voltage ⚠️,Stable,Normal
214.8,5.72,1229.0,NORMAL,System Normal ✅,Stable,Normal
216.0,5.31,1147.0,NORMAL,System Normal ✅,Stable,Normal
220.8,5.21,1150.0,NORMAL,System Normal ✅,Stable,Normal
231.9,5.87,1361.0,NORMAL,System Normal ✅,Stable,Normal
227.1,4.85,1101.0,NORMAL,System Normal ✅,Stable,Normal
233.8,5.05,1181.0,NORMAL,System Normal ✅,Stable,Normal
213.2,4.97,1060.0,NORMAL,System Normal ✅,Stable,Normal
220.2,5.32,1171.0,NORMAL,System Normal ✅,Stable,Normal
214.1,5.87,1257.0,NORMAL,System Normal ✅,Stable,Normal
226.1,5.05,1142.0,NORMAL,System Normal ✅,Stable,Normal
238.0,5.37,1278.0,WARNING,High Voltage ⚠️,Stable,Normal
235.3,4.22,993.0,WARNING,High Voltage ⚠️,Stable,Normal
210.6,5.32,1120.0,NORMAL,System Normal ✅,Stable,Normal
234.2,5.44,1274.0,NORMAL,System Normal ✅,Stable,Normal
219.1,5.77,1264.0,NORMAL,System Normal ✅,Stable,Normal
235.9,5.27,1243.0,WARNING,High Voltage ⚠️,Stable,Normal
229.9,4.87,1120.0,NORMAL,System Normal ✅,Stable,Normal
217.4,5.43,1180.0,NORMAL,System Normal ✅,Stable,Normal
238.9,4.54,1085.0,CRITICAL,High Voltage ⚠️,Stable,Normal
238.4,4.27,1018.0,CRITICAL,High Voltage ⚠️,Stable,Normal
213.9,4.76,1018.0,NORMAL,System Normal ✅,Stable,Normal
211.7,5.25,1111.0,NORMAL,System Normal ✅,Stable,Normal
233.7,5.79,1353.0,NORMAL,System Normal ✅,Stable,Normal
233.7,4.92,1150.0,NORMAL,System Normal ✅,Stable,Normal
229.2,5.71,1309.0,NORMAL,System Normal ✅,Stable,Normal
236.0,5.77,1362.0,WARNING,High Voltage ⚠️,Stable,Normal
229.9,4.61,1060.0,NORMAL,System Normal ✅,Stable,Normal
214.7,4.16,893.0,NORMAL,System Normal ✅,Stable,Normal
234.3,5.09,1193.0,NORMAL,System Normal ✅,Stable,Normal
224.4,5.06,1135.0,NORMAL,System Normal ✅,Stable,Normal
211.6,5.82,1232.0,NORMAL,System Normal ✅,Stable,Normal
221.4,5.34,1182.0,NORMAL,System Normal ✅,Stable,Normal
215.1,4.91,1056.0,NORMAL,System Normal ✅,Stable,Normal
228.1,4.92,1122.0,NORMAL,System Normal ✅,Stable,Normal
233.9,4.61,1078.0,NORMAL,System Normal ✅,Stable,Normal
219.9,5.05,1110.0,NORMAL,System Normal ✅,Stable,Normal
214.6,4.96,1064.0,NORMAL,System Normal ✅,Stable,Normal
213.8,4.15,887.0,NORMAL,System Normal ✅,Stable,Normal
234.0,4.91,1149.0,NORMAL,System Normal ✅,Stable,Normal
237.5,4.03,957.0,WARNING,High Voltage ⚠️,Stable,Normal
219.1,5.99,1312.0,NORMAL,System Normal ✅,Stable,Normal
212.8,4.77,1015.0,NORMAL,System Normal ✅,Stable,Normal
210.5,5.73,1206.0,NORMAL,System Normal ✅,Stable,Normal
239.1,4.72,1129.0,CRITICAL,High Voltage ⚠️,Stable,Normal
236.9,4.27,1012.0,WARNING,High Voltage ⚠️,Stable,Normal
225.8,4.66,1052.0,NORMAL,System Normal ✅,Stable,Normal
239.2,4.11,983.0,CRITICAL,High Voltage ⚠️,Stable,Normal
235.3,6.0,1412.0,WARNING,High Voltage ⚠️,Stable,Normal
232.3,5.38,1250.0,NORMAL,System Normal ✅,Stable,Normal
237.5,4.55,1081.0,WARNING,High Voltage ⚠️,Stable,Normal
213.2,4.77,1017.0,NORMAL,System Normal ✅,Stable,Normal
212.7,4.11,874.0,NORMAL,System Normal ✅,Stable,Normal
214.3,4.59,984.0,NORMAL,System Normal ✅,Stable,Normal
219.0,5.03,1102.0,NORMAL,System Normal ✅,Stable,Normal
230.1,5.37,1236.0,NORMAL,System Normal ✅,Stable,Normal
227.6,5.07,1154.0,NORMAL,System Normal ✅,Stable,Normal
212.3,4.05,860.0,NORMAL,System Normal ✅,Stable,Normal
220.6,5.42,1196.0,NORMAL,System Normal ✅,Stable,Normal
211.7,4.85,1027.0,NORMAL,System Normal ✅,Stable,Normal
211.9,5.1,1081.0,NORMAL,System Normal ✅,Stable,Normal
239.0,4.64,1109.0,CRITICAL,High Voltage ⚠️,Stable,Normal
229.2,4.22,967.0,NORMAL,System Normal ✅,Stable,Normal
227.5,5.09,1158.0,NORMAL,System Normal ✅,Stable,Normal
221.6,4.64,1028.0,NORMAL,System Normal ✅,Stable,Normal
226.6,5.78,1310.0,NORMAL,System Normal ✅,Stable,Normal
231.4,5.71,1321.0,NORMAL,System Normal ✅,Stable,Normal
212.1,5.68,1205.0,NORMAL,System Normal ✅,Stable,Normal
231.6,5.99,1387.0,NORMAL,System Normal ✅,Stable,Normal
220.9,5.95,1314.0,NORMAL,System Normal ✅,Stable,Normal
229.4,4.45,1021.0,NORMAL,System Normal ✅,Stable,Normal
228.5,4.49,1026.0,NORMAL,System Normal ✅,Stable,Normal
236.2,5.66,1337.0,WARNING,High Voltage ⚠️,Stable,Normal
234.3,4.83,1132.0,NORMAL,System Normal ✅,Stable,Normal
231.1,5.34,1234.0,NORMAL,System Normal ✅,Stable,Normal
228.3,5.51,1258.0,NORMAL,System Normal ✅,Stable,Normal
217.6,5.59,1216.0,NORMAL,System Normal ✅,Stable,Normal
214.1,5.07,1085.0,NORMAL,System Normal ✅,Stable,Normal
214.6,5.57,1195.0,NORMAL,System Normal ✅,Stable,Normal
210.5,4.84,1019.0,NORMAL,System Normal ✅,Stable,Normal
228.5,5.66,1293.0,NORMAL,System Normal ✅,Stable,Normal
236.1,5.85,1381.0,WARNING,High Voltage ⚠️,Stable,Normal
237.2,4.48,1063.0,WARNING,High Voltage ⚠️,Stable,Normal
212.7,5.43,1155.0,NORMAL,System Normal ✅,Stable,Normal
240.0,4.13,991.0,CRITICAL,High Voltage ⚠️,Stable,Normal
214.8,4.75,1020.0,NORMAL,System Normal ✅,Stable,Normal
224.5,4.53,1017.0,NORMAL,System Normal ✅,Stable,Normal
223.3,4.86,1085.0,NORMAL,System Normal ✅,Stable,Normal
232.6,4.63,1077.0,NORMAL,System Normal ✅,Stable,Normal
221.0,5.51,1218.0,NORMAL,System Normal ✅,Stable,Normal
224.4,4.19,940.0,NORMAL,System Normal ✅,Stable,Normal
233.4,5.22,1218.0,NORMAL,System Normal ✅,Stable,Normal
216.7,5.6,1214.0,NORMAL,System Normal ✅,Stable,Normal
221.4,5.84,1293.0,NORMAL,System Normal ✅,Stable,Normal
213.4,4.8,1024.0,NORMAL,System Normal ✅,Stable,Normal
233.4,4.92,1148.0,NORMAL,System Normal ✅,Stable,Normal
227.1,4.45,1011.0,NORMAL,System Normal ✅,Stable,Normal
213.4,5.6,1195.0,NORMAL,System Normal ✅,Stable,Normal
236.1,5.53,1306.0,WARNING,High Voltage ⚠️,Stable,Normal
226.6,5.1,1156.0,NORMAL,System Normal ✅,Stable,Normal
234.3,4.76,1115.0,NORMAL,System Normal ✅,Stable,Normal
226.3,5.34,1208.0,NORMAL,System Normal ✅,Stable,Normal
238.0,5.87,1397.0,WARNING,High Voltage ⚠️,Stable,Normal
214.7,5.96,1280.0,NORMAL,System Normal ✅,Stable,Normal
229.3,5.23,1199.0,NORMAL,System Normal ✅,Stable,Normal
239.5,4.41,1056.0,CRITICAL,High Voltage ⚠️,Stable,Normal
227.2,4.59,1043.0,NORMAL,System Normal ✅,Stable,Normal
226.5,5.98,1354.0,NORMAL,System Normal ✅,Stable,Normal
214.8,4.18,898.0,NORMAL,System Normal ✅,Stable,Normal
219.0,4.77,1045.0,NORMAL,System Normal ✅,Stable,Normal
219.9,4.13,908.0,NORMAL,System Normal ✅,Stable,Normal
220.0,5.67,1247.0,NORMAL,System Normal ✅,Stable,Normal
223.5,5.33,1191.0,NORMAL,System Normal ✅,Stable,Normal
223.3,4.05,904.0,NORMAL,System Normal ✅,Stable,Normal
228.2,4.91,1120.0,NORMAL,System Normal ✅,Stable,Normal
222.0,5.35,1188.0,NORMAL,System Normal ✅,Stable,Normal
223.5,5.87,1312.0,NORMAL,System Normal ✅,Stable,Normal
210.2,4.34,912.0,NORMAL,System Normal ✅,Stable,Normal
212.2,4.63,982.0,NORMAL,System Normal ✅,Stable,Normal
222.4,4.79,1065.0,NORMAL,System Normal ✅,Stable,Normal
219.0,5.69,1246.0,NORMAL,System Normal ✅,Stable,Normal
227.5,4.68,1065.0,NORMAL,System Normal ✅,Stable,Normal
212.2,5.67,1203.0,NORMAL,System Normal ✅,Stable,Normal
211.3,5.75,1215.0,NORMAL,System Normal ✅,Stable,Normal
217.9,4.8,1046.0,NORMAL,System Normal ✅,Stable,Normal
218.0,5.8,1264.0,NORMAL,System Normal ✅,Stable,Normal
211.3,4.59,970.0,NORMAL,System Normal ✅,Stable,Normal
217.8,5.66,1233.0,NORMAL,System Normal ✅,Stable,Normal
229.3,4.3,986.0,NORMAL,System Normal ✅,Stable,Normal
212.8,5.14,1094.0,NORMAL,System Normal ✅,Stable,Normal
238.0,4.31,1026.0,WARNING,High Voltage ⚠️,Stable,Normal
214.2,5.95,1274.0,NORMAL,System Normal ✅,Stable,Normal
222.3,5.44,1209.0,NORMAL,System Normal ✅,Stable,Normal
230.4,5.66,1304.0,NORMAL,System Normal ✅,Stable,Normal
223.7,5.02,1123.0,NORMAL,System Normal ✅,Stable,Normal
234.8,4.86,1141.0,NORMAL,System Normal ✅,Stable,Normal
214.4,4.31,924.0,NORMAL,System Normal ✅,Stable,Normal
214.5,5.34,1145.0,NORMAL,System Normal ✅,Stable,Normal
234.8,5.14,1207.0,NORMAL,System Normal ✅,Stable,Normal
239.9,5.64,1353.0,CRITICAL,High Voltage ⚠️,Stable,Normal
235.6,4.4,1037.0,WARNING,High Voltage ⚠️,Stable,Normal
215.9,5.26,1136.0,NORMAL,System Normal ✅,Stable,Normal
225.2,5.77,1299.0,NORMAL,System Normal ✅,Stable,Normal
210.9,4.73,998.0,NORMAL,System Normal ✅,Stable,Normal
230.6,5.05,1165.0,NORMAL,System Normal ✅,Stable,Normal
215.0,4.07,875.0,NORMAL,System Normal ✅,Stable,Normal
216.0,5.67,1225.0,NORMAL,System Normal ✅,Stable,Normal
220.5,5.58,1230.0,NORMAL,System Normal ✅,Stable,Normal
232.9,5.07,1181.0,NORMAL,System Normal ✅,Stable,Normal
238.0,5.96,1418.0,WARNING,High Voltage ⚠️,Stable,Normal
213.6,5.84,1247.0,NORMAL,System Normal ✅,Stable,Normal
210.8,4.98,1050.0,NORMAL,System Normal ✅,Stable,Normal
232.5,5.74,1335.0,NORMAL,System Normal ✅,Stable,Normal
220.0,5.17,1137.0,NORMAL,System Normal ✅,Stable,Normal
236.4,5.92,1399.0,WARNING,High Voltage ⚠️,Stable,Normal
219.7,5.82,1279.0,NORMAL,System Normal ✅,Stable,Normal
227.0,5.27,1196.0,NORMAL,System Normal ✅,Stable,Normal
221.2,5.98,1323.0,NORMAL,System Normal ✅,Stable,Normal
232.8,5.48,1276.0,NORMAL,System Normal ✅,Stable,Normal
218.7,4.53,991.0,NORMAL,System Normal ✅,Stable,Normal
218.0,4.72,1029.0,NORMAL,System Normal ✅,Stable,Normal
223.8,4.43,991.0,NORMAL,System Normal ✅,Stable,Normal
218.2,5.23,1141.0,NORMAL,System Normal ✅,Stable,Normal
226.3,5.39,1220.0,NORMAL,System Normal ✅,Stable,Normal
214.0,5.59,1196.0,NORMAL,System Normal ✅,Stable,Normal
210.6,5.82,1226.0,NORMAL,System Normal ✅,Stable,Normal
226.9,5.52,1252.0,NORMAL,System Normal ✅,Stable,Normal
225.7,5.95,1343.0,NORMAL,System Normal ✅,Stable,Normal
210.0,4.2,882.0,NORMAL,System Normal ✅,Stable,Normal
232.8,4.84,1127.0,NORMAL,System Normal ✅,Stable,Normal
210.5,5.81,1223.0,NORMAL,System Normal ✅,Stable,Normal
212.8,4.18,890.0,NORMAL,System Normal ✅,Stable,Normal
230.3,5.7,1313.0,NORMAL,System Normal ✅,Stable,Normal
230.7,5.63,1299.0,NORMAL,System Normal ✅,Stable,Normal
230.2,5.61,1291.0,NORMAL,System Normal ✅,Stable,Normal
238.6,5.0,1193.0,CRITICAL,High Voltage ⚠️,Stable,Normal
213.2,4.04,861.0,NORMAL,System Normal ✅,Stable,Normal
237.5,5.85,1389.0,WARNING,High Voltage ⚠️,Stable,Normal
234.4,5.34,1252.0,NORMAL,System Normal ✅,Stable,Normal
225.5,4.56,1028.0,NORMAL,System Normal ✅,Stable,Normal
224.7,4.52,1016.0,NORMAL,System Normal ✅,Stable,Normal
219.0,5.46,1196.0,NORMAL,System Normal ✅,Stable,Normal
220.8,4.91,1084.0,NORMAL,System Normal ✅,Stable,Normal
223.9,5.19,1162.0,NORMAL,System Normal ✅,Stable,Normal
226.5,4.36,988.0,NORMAL,System Normal ✅,Stable,Normal
225.1,4.36,981.0,NORMAL,System Normal ✅,Stable,Normal
218.6,5.15,1126.0,NORMAL,System Normal ✅,Stable,Normal
220.0,4.39,966.0,NORMAL,System Normal ✅,Stable,Normal
217.6,5.87,1277.0,NORMAL,System Normal ✅,Stable,Normal
218.9,5.41,1184.0,NORMAL,System Normal ✅,Stable,Normal
210.5,5.23,1101.0,NORMAL,System Normal ✅,Stable,Normal
212.7,4.87,1036.0,NORMAL,System Normal ✅,Stable,Normal
219.7,5.57,1224.0,NORMAL,System Normal ✅,Stable,Normal
236.2,5.09,1202.0,WARNING,High Voltage ⚠️,Stable,Normal
227.9,4.92,1121.0,NORMAL,System Normal ✅,Stable,Normal
213.5,5.02,1072.0,NORMAL,System Normal ✅,Stable,Normal
233.4,4.37,1020.0,NORMAL,System Normal ✅,Stable,Normal
229.1,4.03,923.0,NORMAL,System Normal ✅,Stable,Normal
234.0,4.32,1011.0,NORMAL,System Normal ✅,Stable,Normal
239.5,5.32,1274.0,CRITICAL,High Voltage ⚠️,Stable,Normal
224.7,4.02,903.0,NORMAL,System Normal ✅,Stable,Normal
225.6,4.4,993.0,NORMAL,System Normal ✅,Stable,Normal
212.3,5.41,1149.0,NORMAL,System Normal ✅,Stable,Normal
235.6,4.15,978.0,WARNING,High Voltage ⚠️,Stable,Normal
223.3,4.49,1003.0,NORMAL,System Normal ✅,Stable,Normal
235.5,5.58,1314.0,WARNING,High Voltage ⚠️,Stable,Normal
232.4,5.56,1292.0,NORMAL,System Normal ✅,Stable,Normal
239.3,5.9,1412.0,CRITICAL,High Voltage ⚠️,Stable,Normal
234.0,4.02,941.0,NORMAL,System Normal ✅,Stable,Normal
218.0,5.74,1251.0,NORMAL,System Normal ✅,Stable,Normal
217.0,4.73,1026.0,NORMAL,System Normal ✅,Stable,Normal
213.9,5.48,1172.0,NORMAL,System Normal ✅,Stable,Normal
224.1,5.87,1315.0,NORMAL,System Normal ✅,Stable,Normal
228.0,4.45,1015.0,NORMAL,System Normal ✅,Stable,Normal
222.1,4.04,897.0,NORMAL,System Normal ✅,Stable,Normal
221.9,5.16,1145.0,NORMAL,System Normal ✅,Stable,Normal
212.7,4.65,989.0,NORMAL,System Normal ✅,Stable,Normal
212.8,4.87,1036.0,NORMAL,System Normal ✅,Stable,Normal
216.3,4.22,913.0,NORMAL,System Normal ✅,Stable,Normal
237.1,5.74,1361.0,WARNING,High Voltage ⚠️,Stable,Normal
225.9,5.53,1249.0,NORMAL,System Normal ✅,Stable,Normal
230.8,4.02,928.0,NORMAL,System Normal ✅,Stable,Normal
234.0,4.52,1058.0,NORMAL,System Normal ✅,Stable,Normal
217.7,5.19,1130.0,NORMAL,System Normal ✅,Stable,Normal
239.4,5.07,1214.0,CRITICAL,High Voltage ⚠️,Stable,Normal
229.6,4.39,1008.0,NORMAL,System Normal ✅,Stable,Normal
226.0,5.03,1137.0,NORMAL,System Normal ✅,Stable,Normal
236.8,4.16,985.0,WARNING,High Voltage ⚠️,Stable,Normal
228.1,5.7,1300.0,NORMAL,System Normal ✅,Stable,Normal
236.2,4.83,1141.0,WARNING,High Voltage ⚠️,Stable,Normal
233.2,4.18,975.0,NORMAL,System Normal ✅,Stable,Normal
224.4,4.75,1066.0,NORMAL,System Normal ✅,Stable,Normal
220.5,5.65,1246.0,NORMAL,System Normal ✅,Stable,Normal
212.5,5.49,1167.0,NORMAL,System Normal ✅,Stable,Normal
221.7,5.37,1191.0,NORMAL,System Normal ✅,Stable,Normal
220.7,5.37,1185.0,NORMAL,System Normal ✅,Stable,Normal
236.3,5.8,1371.0,WARNING,High Voltage ⚠️,Stable,Normal
230.3,5.72,1317.0,NORMAL,System Normal ✅,Stable,Normal
214.1,4.43,948.0,NORMAL,System Normal ✅,Stable,Normal
214.2,5.36,1148.0,NORMAL,System Normal ✅,Stable,Normal
237.8,4.81,1144.0,WARNING,High Voltage ⚠️,Stable,Normal
234.2,5.14,1204.0,NORMAL,System Normal ✅,Stable,Normal
213.2,4.2,895.0,NORMAL,System Normal ✅,Stable,Normal
213.2,5.13,1094.0,NORMAL,System Normal ✅,Stable,Normal
225.1,5.91,1330.0,NORMAL,System Normal ✅,Stable,Normal
217.0,5.65,1226.0,NORMAL,System Normal ✅,Stable,Normal
235.5,5.48,1291.0,WARNING,High Voltage ⚠️,Stable,Normal
210.5,5.4,1137.0,NORMAL,System Normal ✅,Stable,Normal
218.5,5.22,1141.0,NORMAL,System Normal ✅,Stable,Normal
222.2,4.51,1002.0,NORMAL,System Normal ✅,Stable,Normal
236.1,5.76,1360.0,WARNING,High Voltage ⚠️,Stable,Normal
221.6,5.4,1197.0,NORMAL,System Normal ✅,Stable,Normal
237.7,5.94,1412.0,WARNING,High Voltage ⚠️,Stable,Normal
227.0,5.33,1210.0,NORMAL,System Normal ✅,Stable,Normal
228.2,4.35,993.0,NORMAL,System Normal ✅,Stable,Normal
213.9,4.8,1027.0,NORMAL,System Normal ✅,Stable,Normal
237.1,4.31,1022.0,WARNING,High Voltage ⚠️,Stable,Normal
227.2,4.5,1022.0,NORMAL,System Normal ✅,Stable,Normal
228.4,4.06,927.0,NORMAL,System Normal ✅,Stable,Normal
237.0,5.09,1206.0,WARNING,High Voltage ⚠️,Stable,Normal
230.2,5.15,1186.0,NORMAL,System Normal ✅,Stable,Normal
234.4,5.26,1233.0,NORMAL,System Normal ✅,Stable,Normal
213.5,4.29,916.0,NORMAL,System Normal ✅,Stable,Normal
212.7,4.12,876.0,NORMAL,System Normal ✅,Stable,Normal
228.4,5.24,1197.0,NORMAL,System Normal ✅,Stable,Normal
